symbol,date,open,high,low,close,volume,prev_close,gap,run,dollar_vol,advol20,rvol
FCEL,2025-06-06,5.46,7.48,5.41,6.47,12060436.0,5.2,0.050000000000000044,0.43846153846153846,78031020.92,1269395.7,9.500927094679776
FCEL,2025-09-09,4.25,5.32,4.16,5.18,10241908.0,4.22,0.007109004739336511,0.2606635071090049,53053083.44,1402161.35,7.304371925527685
FCEL,2025-09-10,5.235,6.01,5.0,5.7,7895940.0,5.18,0.010617760617760652,0.16023166023166024,45006858.0,1828176.75,4.319024405052739
FCEL,2025-10-31,7.78,9.2,7.73,8.95,15883522.0,7.73,0.0064683053040104355,0.19016817593790414,142157521.89999998,4407619.55,3.6036508641041856
FCEL,2025-12-18,9.29,10.9,9.25,9.64,12938966.0,7.9,0.17594936708860742,0.379746835443038,124731632.24000001,2049879.15,6.312062835509108
FCEL,2026-04-20,7.14,8.695,7.06,8.65,6461018.0,7.25,-0.015172413793103523,0.19931034482758614,55887805.7,1455309.8,4.439616911808056
FCEL,2026-04-21,8.53,10.343,8.53,9.49,18823963.0,8.65,-0.0138728323699423,0.19572254335260109,178639408.87,1703720.55,11.048738597418456
FCEL,2026-04-22,9.99,11.88,9.985,11.8,17058109.0,9.49,0.052687038988408874,0.25184404636459434,201285686.20000002,2590324.9,6.58531638251248
FCEL,2026-04-29,11.395,13.66,10.99,13.64,18658900.0,9.94,0.14637826961770628,0.37424547283702214,254507396.0,4300278.75,4.338997791712921
FHN,2024-11-06,18.158612,19.118831,18.111076,19.109324,21766146.0,16.4093,0.10660491306758968,0.1651216688097601,415936336.145304,6539785.1,3.328266245323566
FIG,2025-10-06,53.46,61.75,51.1,56.96,28006335.0,53.04,0.007918552036199067,0.1642156862745099,1595240841.6000001,9110652.65,3.074020717933967
FIG,2026-05-15,22.28,23.93,21.31,22.92,77424650.0,20.24,0.10079051383399218,0.182312252964427,1774572978.0000002,18015430.3,4.297685301471817
FIGS,2025-11-07,8.36,8.8977,8.0,8.55,5891099.0,7.52,0.11170212765957444,0.18320478723404277,50368896.45,1679869.5,3.506878956966598
FIGS,2026-02-26,11.05,12.66,11.02,12.47,9791589.0,10.96,0.008211678832116709,0.1551094890510949,122101114.83000001,2919810.85,3.3535011351848354
FIGS,2026-02-27,14.57,15.8999,14.3,15.45,26067961.0,12.47,0.16840417000801922,0.27505212510024046,402749997.45,3317853.0,7.856876419781106
FIGS,2026-08-07,15.2,16.38,14.11,14.26,11255426.0,11.24,0.35231316725978634,0.45729537366548034,160502374.76,2998440.1,3.7537604969997567
FLEX,2026-05-06,119.85,134.99,119.0,134.73,18828628.0,96.45,0.2426127527216173,0.3995852773457751,2536781050.4399996,4038180.4,4.662651524929396
FLNC,2025-05-12,5.05,6.11,5.03,5.69,14575794.0,4.58,0.10262008733624439,0.3340611353711791,82936267.86,4825996.8,3.0202659894014023
FLNC,2025-06-17,5.37,5.98,5.32,5.67,13128357.0,5.01,0.07185628742514982,0.19361277445109804,74437784.19,3155755.75,4.160130897329427
FLNC,2026-05-07,19.205,20.285,16.31,18.97,46080058.0,13.56,0.41629793510324475,0.4959439528023599,874138700.26,4930100.65,9.346676928390904
FLNC,2026-05-08,23.775,26.98,23.52,24.16,41472189.0,18.97,0.25329467580390097,0.4222456510279389,1001968086.24,7080070.65,5.857595361707301
FLNC,2026-06-01,23.42,28.88,23.2442,27.15,46233518.0,18.88,0.24046610169491545,0.5296610169491525,1255240013.7,14741803.5,3.1362185773267157
FNB,2024-11-06,14.58803,15.788788,14.573903,15.746408,7833195.0,13.702765,0.06460484435075697,0.15223372801036872,123344684.41356,2423161.35,3.232634508634763
