symbol,date,gap,atr_pct,entry,exit,reason,exit_min,gross,ret,period
ALAB,2025-11-20,0.08781071755510172,0.10258160894102028,150.64,139.29,eod,945,0.08148467226649436,0.08008467226649436,OOS
AMKR,2025-11-20,0.06538341103109846,0.06499204648232694,32.5444601222259,29.982217,eod,945,0.08545876117919837,0.08405876117919837,OOS
ASST,2025-11-20,0.06190476190476191,0.18295911564625847,21.6,19.656,eod,945,0.098901098901099,0.097501098901099,OOS
ASTS,2025-11-20,0.0580934321668678,0.09737175856379442,60.33,50.7,eod,945,0.1899408284023667,0.1885408284023667,OOS
BE,2025-11-20,0.03828146516111253,0.13705105506813023,112.85,118.49249999999999,stop,615,-0.04761904761904756,-0.04901904761904756,OOS
BMNR,2025-11-20,0.03632625795242905,0.12158694530266748,29.581312912759415,26.012361,eod,945,0.1372021521906226,0.13580215219062258,OOS
CIEN,2025-11-20,0.049422608327153394,0.054398354849938706,196.58,176.45,eod,945,0.11408330971946734,0.11268330971946734,OOS
CLSK,2025-11-20,0.05185909980430514,0.12981828347777466,10.6405,11.172525,stop,600,-0.04761904761904767,-0.04901904761904767,OOS
CORZ,2025-11-20,0.05100714749837554,0.11261811937250532,15.89,15.16,eod,945,0.04815303430079165,0.046753034300791654,OOS
CRDO,2025-11-20,0.08457851705666752,0.1026538523500745,148.75,134.73,eod,945,0.10405997179544291,0.10265997179544291,OOS
CRWV,2025-11-20,0.102776294714362,0.11159884829532458,79.8,69.21,eod,945,0.15301257043779803,0.15161257043779802,OOS
HUT,2025-11-20,0.07019179541822052,0.13565092472790924,38.92,40.86600000000001,stop,630,-0.04761904761904778,-0.04901904761904778,OOS
LRCX,2025-11-20,0.0313172082805786,0.04860210225627218,151.75623566191274,139.095816,eod,945,0.09101941399813729,0.08961941399813729,OOS
MARA,2025-11-20,0.03423423423423433,0.10195431145431147,11.43,10.24,eod,945,0.1162109375,0.1148109375,OOS
MSTR,2025-11-20,0.03184986595174255,0.08958288012255843,187.72,177.13,eod,945,0.05978659741432857,0.05838659741432857,OOS
NVTS,2025-11-20,0.09974093264248718,0.14762213175425612,8.2214,7.55,eod,945,0.08892715231788073,0.08752715231788073,OOS
RIOT,2025-11-20,0.05468164794007491,0.11449598715890849,13.81,12.78,eod,945,0.08059467918622865,0.07919467918622865,OOS
RKLB,2025-11-20,0.056396148555708514,0.09771910001965028,45.34,39.48,eod,945,0.1484295845997976,0.1470295845997976,OOS
SMR,2025-11-20,0.07051585423568385,0.16007741193969308,21.78,18.7,eod,945,0.16470588235294126,0.16330588235294125,OOS
TEM,2025-11-20,0.032421479229989725,0.06901391559663375,70.14,65.69,eod,945,0.06774242654894214,0.06634242654894214,OOS
UUUU,2025-11-20,0.032278889606197625,0.10324218389744536,15.61,13.21,eod,945,0.181680545041635,0.180280545041635,OOS
VRT,2025-11-20,0.03674186809455948,0.06731007613542499,176.62641881392142,159.480357,eod,945,0.10751206064782903,0.10611206064782903,OOS
ASTS,2025-11-21,0.045463510848126276,0.12134333615102845,51.3701,51.37,eod,945,1.9466614755714318e-06,-0.0013980533385244286,OOS
IONQ,2025-11-21,0.03804878048780491,0.12431149825783971,41.51,41.71,eod,945,-0.004795013186286279,-0.006195013186286279,OOS
ONDS,2025-11-21,0.046251993620414655,0.171451355661882,6.25,6.5625,stop,870,-0.04761904761904767,-0.04901904761904767,OOS
SNDK,2025-11-21,0.04802000408246587,0.15815687603884174,196.2,200.27,eod,945,-0.020322564537873955,-0.021722564537873953,OOS
ASTS,2025-11-24,0.03173058205178125,0.11286395617230736,52.01,54.6105,stop,930,-0.04761904761904767,-0.04901904761904767,OOS
BMNR,2025-11-24,0.036153846094657105,0.13614010469733415,26.680764192713827,28.01480240234952,stop,600,-0.04761904761904767,-0.04901904761904767,OOS
XPEV,2025-11-24,0.03290766208251483,0.09058026943586868,20.85,20.93,eod,945,-0.00382226469182978,-0.00522226469182978,OOS
BILI,2025-11-25,0.03449583017437452,0.04162839813711687,27.08,27.18,eod,945,-0.003679175864606421,-0.005079175864606421,OOS
BE,2025-11-26,0.05907307243610127,0.1593908610214687,94.02,98.721,stop,825,-0.04761904761904767,-0.04901904761904767,OOS
IREN,2025-11-26,0.04013060880556152,0.13695868067049866,47.82,48.45,eod,945,-0.013003095975232304,-0.014403095975232304,OOS
COIN,2025-12-02,0.030172413793103647,0.06828081016889515,264.8301,263.26,eod,945,0.005964065942414498,0.004564065942414498,OOS
CRCL,2025-12-02,0.03239399525941544,0.08210448098122579,77.33,77.44,eod,945,-0.0014204545454545858,-0.002820454545454586,OOS
ALAB,2025-12-03,0.05163005456835035,0.10430560275040479,145.7,152.98499999999999,stop,945,-0.04761904761904756,-0.04901904761904756,OOS
BILI,2025-12-04,0.03094010313367712,0.04222870742902478,25.8,25.7,eod,945,0.0038910505836575737,0.0024910505836575735,OOS
GLXY,2025-12-08,0.043904351234809846,0.07536708293666348,25.6854,26.09,eod,945,-0.01550785741663463,-0.016907857416634628,OOS
SMR,2025-12-08,0.04488078541374474,0.09398851265611437,21.65,21.56,eod,945,0.004174397031539989,0.002774397031539989,OOS
SNDK,2025-12-08,0.03147021490786539,0.11700926661205908,227.12,225.47,eod,945,0.007318046746795703,0.005918046746795703,OOS
SNDK,2025-12-15,0.04008633233097281,0.11001087815085292,207.71,201.87,eod,945,0.028929509090008354,0.027529509090008356,OOS
